#{"t_start": 1781566582.5097396, "env_id": "None"}
r,l,t
-74.835125,101,244.993309
-78.112723,96,245.355023
-65.24508,83,245.674672
-66.254992,91,246.017864
-72.853705,88,246.383507
-69.634518,105,246.780453
-142.377446,90,247.134468
-102.354892,80,247.441844
-165.351445,102,247.850965
-92.628936,84,248.179516
-91.447591,102,248.563932
-116.430704,84,248.88938
-66.656328,84,249.222088
-71.056838,82,249.56601
-74.779027,100,249.931896
-129.608461,72,250.21483
-99.348994,99,251.377831
-119.716951,113,251.855798
-108.437237,97,252.220814
-95.258031,73,252.501987
-89.035381,86,252.826532
-89.152068,97,253.183234
-96.430145,86,253.547348
-111.288017,87,253.878322
-80.449074,110,254.292989
-100.059076,75,254.588401
-64.462067,84,254.936945
-144.656751,98,255.312584
-89.408914,100,255.69889
-113.234261,80,256.010955
-109.155692,75,256.300365
-73.547744,94,256.684106
-95.863561,77,256.984184
-82.490828,86,257.326586
-112.434853,90,257.673861
-67.114352,82,258.014685
-122.353446,85,258.345469
-79.157649,88,258.688792
-89.47222,85,259.021027
-43.383392,87,260.145195
-128.592404,79,260.510817
-181.492091,117,260.963719
-88.902231,90,261.323797
-61.873141,101,261.706077
-60.021614,93,262.06231
-125.962423,109,262.503032
-124.179069,98,262.891168
-64.062166,88,263.232271
-117.828155,120,263.71943
-233.354093,137,264.227312
-81.530031,79,264.531967
-70.86092,122,264.991114
-102.60218,95,265.383901
-89.691783,88,265.725878
-93.134622,120,266.17799
-101.534611,101,266.586406
-97.63203,84,266.933098
-125.870461,88,267.276173
-136.357159,96,267.64552
-179.080276,95,268.007386
-89.276059,101,269.209038
-52.054369,95,269.614001
-82.221073,87,269.948851
-111.4338,94,270.314793
-103.928344,87,270.652708
-52.933854,94,271.00453
-54.946488,107,274.978487
-85.078991,81,275.292356
-164.595709,101,275.679961
-129.509218,82,276.028781
-103.368395,85,276.354169
-69.60735,97,276.722967
-135.267238,102,277.108174
-45.220421,100,277.513398
-96.428087,99,277.884521
-163.129042,98,278.278638
-63.412024,98,278.661319
-213.06515,126,279.155051
-109.363001,101,279.534543
-84.663462,99,279.91285
-161.249345,97,280.287333
-89.863787,121,281.534124
-61.20885,105,281.961545
-67.372385,102,282.35093
-56.836674,97,282.732373
-74.120993,107,283.143853
-180.84002,122,283.616439
-56.311647,85,283.937568
-166.583075,127,284.41704
-74.419587,102,284.819694
-150.258048,137,285.349251
-43.87295,92,285.698277
-71.69652,99,286.076499
-155.776342,136,286.607034
-79.381811,111,287.025253
-54.422929,91,287.375509
-178.758585,101,287.76269
-27.157636,110,288.194128
-48.127659,102,288.586297
-84.581989,103,288.965693
-82.090804,123,290.235943
-126.981557,80,290.605873
-64.497037,99,290.989435
-81.60066,91,291.354335
-57.084015,104,291.750615
-75.189288,95,292.149949
-72.528495,88,292.487924
-71.791911,77,292.794529
-87.401934,84,293.126866
-71.465474,109,293.532578
-90.871426,98,293.934883
-121.761093,116,294.367784
-102.9622,81,294.676694
-59.214114,81,294.993927
-68.00665,90,295.364457
-66.361177,87,295.696792
-80.564433,83,296.021125
-67.01083,110,296.435487
-96.733323,78,296.747128
-163.556978,106,297.172623
-86.195965,103,297.554732
-77.048093,78,297.853881
-110.099221,93,298.986424
-109.545514,83,299.348095
-117.633274,124,299.844038
-27.241943,99,300.218503
-90.440693,105,300.607315
-71.908212,99,301.00428
-53.441088,109,301.421114
-106.394363,79,301.728221
-80.662681,93,302.078405
-110.722722,91,302.429464
-59.619068,84,302.7894
-52.063845,104,303.180553
-103.008497,75,303.482811
-66.959134,82,303.796937
-107.908398,79,304.105803
-68.794464,129,304.618243
-95.953498,91,304.969949
-61.905766,101,305.361763
-108.887319,88,305.712278
-111.072543,90,306.078331
-66.083726,97,306.442173
-116.004667,101,307.590367
-89.934489,86,307.979614
-43.160972,103,308.388417
-148.891945,96,308.754606
-84.507869,83,309.095434
-97.363032,80,309.425506
-106.184512,82,309.75519
-94.421918,95,310.120202
-78.602388,77,310.417819
-49.408589,93,310.777938
-54.076507,79,311.099149
-68.867844,82,311.419599
-65.082192,91,311.80003
-140.367306,92,312.153736
-97.087232,83,312.470913
-69.19003,84,312.79119
-68.49375,84,313.113471
-64.610095,93,313.49365
-76.817264,84,313.818625
-129.641294,90,314.171592
-91.392299,82,314.48464
-224.435834,77,314.793908
-61.060768,96,315.180675
-116.740345,97,315.550483
-53.100924,93,316.665853
-43.392994,90,317.047424
-72.297824,93,317.437547
-73.087491,87,317.774256
-68.8144,89,321.429606
-153.161924,122,321.901567
-101.293284,100,322.313639
-58.848691,88,322.651205
-29.236537,117,323.102184
-72.753949,82,323.418399
-86.024435,106,323.834316
-78.254771,90,324.173062
-123.040571,104,324.563772
-119.542015,86,324.893459
-58.449528,86,325.252645
-95.890282,96,325.619496
-65.46561,98,325.984581
-76.118085,98,326.359102
-48.307861,87,326.702975
-45.380836,94,327.079852
-43.393364,96,327.439633
-60.482632,79,328.481516
-87.085197,99,328.875655
-76.530984,108,329.289986
-87.202503,111,329.716509
-164.920789,117,330.175833
-47.801315,117,330.6065
-67.863174,104,330.99865
-39.936831,92,331.355096
-39.84538,95,331.724204
-66.440158,103,332.14505
-96.535971,111,332.562187
-133.303949,114,332.992351
-152.312423,115,333.452871
-52.310048,99,333.825512
-63.689524,103,334.209316
-59.100506,111,334.616245
-52.68368,91,334.969176
-41.698867,92,335.345526
-50.118422,109,335.759804
-51.898063,93,336.11525
-46.430303,109,337.339321
-144.750308,127,337.864792
-35.331055,96,338.22567
-48.269282,136,338.729511
-40.951638,81,339.048602
-108.801929,127,339.54373
-46.160475,103,339.935945
-106.802211,116,340.372715
-153.952807,104,340.770235
-123.976189,105,341.203168
-61.344997,84,341.52386
-85.009657,118,341.973515
-90.287022,113,342.399686
-95.27127,120,342.869327
-70.163975,103,343.257489
-188.222502,101,343.647888
-46.74291,107,344.050096
-113.324262,114,344.50601
-74.508883,114,344.9427
-39.494491,93,346.112373
-86.314363,104,346.547622
-96.016191,132,347.065244
-56.423064,108,347.473918
-42.563508,111,347.896789
-149.692301,121,348.377073
-20.799844,104,348.771388
-73.523107,114,349.198045
-37.759995,94,349.557926
-110.74654,119,350.029299
-203.125352,129,350.498545
-96.188392,91,350.857528
